"MS.Zoning","Overall.Qual","Year.Built","Year.Remod.Add","Exter.Qual","Exter.Cond","Garage.Qual","Garage.Cond","Sale.Type","Sale.Condition","SalePrice"
"RL",7,1980,1991,"TA","TA","TA","TA","WD ","Normal",249000
"RL",7,1980,1980,"TA","TA","TA","TA","WD ","Normal",187500
"RL",6,1978,1998,"TA","TA","TA","TA","WD ","Normal",184000
"RL",8,1981,1981,"Gd","TA","TA","TA","WD ","Normal",278000
"RL",7,1978,1978,"TA","TA","TA","TA","COD","Abnorml",157000
"RL",7,1976,1976,"TA","TA","TA","TA","WD ","Family",152000
"RL",5,1976,1976,"TA","Gd","TA","TA","WD ","Normal",197500
"FV",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",240900
"FV",8,2009,2009,"Gd","TA","TA","TA","New","Partial",263435
"FV",8,2000,2001,"Gd","TA","TA","TA","WD ","Normal",220000
"FV",8,2002,2002,"Gd","TA","TA","TA","WD ","Normal",235000
"RL",5,1975,1975,"TA","TA","TA","TA","WD ","Normal",213000
"RL",6,1974,1974,"TA","TA","TA","TA","WD ","Normal",167900
"RL",7,1975,1975,"TA","TA","TA","TA","WD ","Normal",158000
"RL",6,1974,1974,"TA","TA","TA","TA","WD ","Normal",165000
"RL",6,1972,1972,"TA","TA","TA","TA","COD","Abnorml",158000
"RL",5,1974,1974,"TA","TA",NA,NA,"WD ","Normal",136000
"RL",5,1970,1970,"TA","TA","TA","TA","WD ","Normal",148500
"RL",6,1969,2005,"TA","TA","TA","TA","WD ","Normal",156000
"RL",5,1970,1970,"TA","TA","TA","TA","COD","Normal",128000
"RL",5,1971,1971,"TA","TA","TA","TA","WD ","Normal",143000
"RL",4,1970,1970,"TA","TA","TA","TA","WD ","Abnorml",76500
"RL",4,1970,1970,"TA","TA","TA","TA","WD ","Normal",120500
"RL",4,1970,1970,"TA","Gd","TA","TA","WD ","Normal",124500
"RL",4,1971,1971,"TA","TA","TA","TA","WD ","Abnorml",97000
"RL",4,1971,2006,"TA","Gd","TA","TA","WD ","Normal",130000
"RM",6,1973,1973,"TA","TA","TA","TA","WD ","Normal",111000
"RM",5,1970,1970,"TA","TA","TA","TA","WD ","Normal",125000
"RM",5,1971,1971,"TA","TA","TA","TA","COD","Abnorml",112000
"RM",6,1972,1972,"TA","TA","TA","TA","WD ","Normal",97000
"RM",6,1972,2007,"TA","TA","TA","TA","WD ","Normal",118000
"RM",5,1972,1972,"TA","TA","TA","TA","WD ","Normal",119500
"RL",6,1976,1976,"TA","TA","TA","TA","WD ","Normal",143750
"RL",6,1976,1976,"TA","TA","TA","TA","WD ","Normal",146000
"RL",6,1976,1976,"TA","TA","TA","TA","WD ","Normal",148500
"RL",7,1975,1975,"TA","TA","TA","TA","WD ","Normal",123000
"RL",6,1974,1974,"TA","TA","TA","TA","WD ","Normal",147000
"RL",6,1977,1977,"TA","TA","TA","TA","WD ","Normal",137900
"RL",6,1978,1978,"TA","TA","TA","TA","WD ","Normal",147000
"RL",6,1978,1978,"TA","TA","TA","TA","WD ","Normal",148500
"RL",6,1978,1978,"Gd","TA","TA","TA","WD ","Normal",138000
"RL",7,1976,1976,"TA","TA","TA","TA","WD ","Normal",128500
"RL",5,1967,1967,"TA","TA","TA","TA","WD ","Normal",100000
"RL",5,1966,2004,"Gd","TA","TA","TA","WD ","Normal",148800
"RL",10,2006,2007,"Ex","TA","TA","TA","WD ","Normal",337500
"RL",9,2007,2007,"Ex","TA","TA","TA","WD ","Normal",462000
"RL",9,2008,2009,"Ex","TA","TA","TA","New","Partial",485000
"RL",10,2008,2008,"Ex","TA","TA","TA","WD ","Normal",555000
"RL",9,2006,2007,"Gd","TA","TA","TA","WD ","Normal",325000
"RL",8,2007,2007,"Gd","TA","TA","TA","WD ","Normal",256300
"RL",8,2008,2009,"Ex","TA","TA","TA","New","Partial",253293
"RL",9,2009,2009,"Gd","TA","TA","TA","New","Partial",398800
"RL",9,2008,2008,"Ex","TA","TA","TA","WD ","Normal",335000
"RL",9,2008,2008,"Ex","TA","TA","TA","WD ","Normal",404000
"RL",10,2009,2009,"Ex","TA","TA","TA","New","Partial",402861
"RL",10,2008,2008,"Ex","TA","TA","TA","ConLI","Normal",451950
"RL",10,2007,2007,"Ex","TA","TA","TA","WD ","Normal",610000
"RL",9,2008,2009,"Ex","TA","TA","TA","New","Partial",582933
"RL",9,2008,2008,"Ex","TA","TA","TA","WD ","Normal",360000
"RL",8,2004,2005,"Gd","TA","TA","TA","WD ","Normal",296000
"RL",8,2007,2007,"Gd","TA","TA","TA","WD ","Family",409900
"RL",8,2006,2006,"Gd","TA","TA","TA","WD ","Normal",255500
"RL",9,2008,2008,"Ex","TA","TA","TA","ConLI","Normal",335000
"RL",8,2004,2005,"Gd","TA","TA","TA","WD ","Normal",274900
"RL",9,2006,2006,"Gd","TA","TA","TA","WD ","Normal",300000
"RL",9,2008,2008,"Ex","TA","TA","TA","WD ","Normal",324000
"RL",9,2004,2005,"Gd","TA","TA","TA","WD ","Normal",350000
"RL",8,2004,2005,"Gd","TA","TA","TA","WD ","Normal",280000
"RL",8,2003,2004,"Gd","TA","TA","TA","WD ","Normal",284000
"RL",7,2003,2004,"Gd","TA","TA","TA","WD ","Normal",269500
"RL",7,2009,2009,"Gd","TA","TA","TA","New","Partial",233170
"RL",10,2003,2003,"Ex","TA","TA","TA","WD ","Normal",386250
"RL",9,2003,2003,"Gd","TA","TA","TA","WD ","Normal",445000
"RL",8,2003,2004,"Gd","TA","TA","TA","WD ","Normal",290000
"RL",8,2006,2006,"Gd","TA","TA","TA","WD ","Normal",255900
"RL",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",213000
"RL",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",196000
"RL",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",184500
"RL",7,2007,2008,"Gd","TA","TA","TA","WD ","Normal",212500
"RL",7,2007,2008,"Gd","TA","TA","TA","WD ","Normal",230000
"RL",10,2004,2005,"Ex","TA","TA","TA","WD ","Abnorml",552000
"RL",8,2003,2004,"Gd","TA","TA","TA","WD ","Normal",382500
"RL",9,2008,2009,"Ex","TA","TA","TA","New","Partial",320000
"RL",9,2008,2008,"Ex","TA","TA","TA","WD ","Normal",248500
"RL",8,2002,2003,"Gd","TA","TA","TA","WD ","Normal",286500
"RL",8,2006,2006,"Gd","TA","TA","TA","WD ","Normal",254000
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",173000
"RL",7,2003,2004,"Gd","TA","TA","TA","WD ","Normal",173000
"RL",7,2005,2005,"Gd","TA","TA","TA","WD ","Normal",184000
"RL",6,2005,2006,"Gd","TA","TA","TA","WD ","Normal",167800
"RL",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",174000
"RL",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",174000
"RL",7,2007,2007,"Gd","TA","TA","TA","WD ","Normal",174000
"RL",7,2007,2007,"Gd","TA","TA","TA","WD ","Normal",175900
"RL",7,2005,2006,"Gd","TA","TA","TA","WD ","Normal",192500
"RL",7,2005,2006,"Gd","TA","TA","TA","WD ","Normal",181000
"RL",7,2005,2006,"Gd","TA","TA","TA","WD ","Normal",180000
"RL",7,2005,2006,"Gd","TA","TA","TA","WD ","Normal",160200
"RL",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",188500
"RL",6,2002,2002,"Gd","TA","TA","TA","ConLI","Normal",200000
"RL",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",170000
"RL",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",189500
"RL",8,2002,2002,"Gd","TA","TA","TA","WD ","Normal",184100
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",195500
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",192000
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",178000
"RL",7,2007,2008,"Gd","TA","TA","TA","ConLw","Normal",207500
"RL",7,2000,2000,"Gd","TA","TA","TA","WD ","Normal",236000
"RL",8,2002,2002,"Gd","TA","TA","TA","WD ","Normal",257500
"RL",6,2000,2000,"Gd","TA","TA","TA","WD ","Normal",244000
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",167000
"RL",6,2000,2000,"TA","TA","TA","TA","WD ","Normal",179000
"RL",6,2000,2000,"TA","TA","TA","TA","WD ","Normal",190000
"RL",7,1999,2000,"TA","TA","TA","TA","WD ","Normal",156000
"RL",7,1999,1999,"Gd","TA","TA","TA","WD ","Normal",245000
"RL",6,1999,1999,"TA","TA","TA","TA","WD ","Normal",181000
"RL",7,1999,1999,"Gd","TA","TA","TA","WD ","Normal",214000
"RL",7,1999,1999,"TA","TA","TA","TA","WD ","Normal",168000
"RL",8,1999,1999,"Gd","TA","TA","TA","WD ","Normal",337000
"RL",8,1995,1996,"Gd","TA","TA","TA","WD ","Normal",403000
"RL",8,2000,2000,"Gd","TA","TA","TA","WD ","Normal",327000
"RL",8,1998,1998,"Gd","TA","TA","TA","WD ","Normal",340000
"RL",8,1998,1999,"Gd","TA","TA","TA","WD ","Normal",336000
"RL",7,1996,1997,"Gd","TA","TA","TA","WD ","Normal",265000
"RL",8,1994,1995,"Gd","TA","TA","TA","WD ","Normal",315000
"RL",7,1993,1993,"Gd","TA","TA","TA","WD ","Normal",260000
"RL",7,1995,1996,"Gd","TA","TA","TA","WD ","Normal",260000
"RL",8,1993,1994,"Gd","TA","TA","TA","WD ","Normal",263550
"RL",8,1994,2005,"Gd","TA","TA","TA","WD ","Normal",402000
"RL",7,1994,1994,"Gd","TA","TA","TA","WD ","Normal",248000
"RL",8,2008,2009,"Gd","TA","TA","TA","New","Partial",244600
"RL",8,2008,2008,"Gd","TA","TA","TA","WD ","Normal",275000
"RL",8,2008,2008,"Gd","TA","TA","TA","WD ","Normal",257500
"RL",8,2008,2009,"Gd","TA","TA","TA","New","Partial",287090
"RL",8,2007,2007,"Gd","TA","TA","TA","WD ","Normal",275500
"RL",8,2006,2006,"Gd","TA","TA","TA","WD ","Normal",245000
"RL",7,2005,2005,"Gd","TA","TA","TA","WD ","Normal",253000
"RL",9,2005,2006,"Ex","TA","TA","TA","WD ","Normal",468000
"FV",7,2009,2009,"TA","TA","TA","TA","New","Partial",252678
"FV",8,2008,2008,"Gd","TA","TA","TA","WD ","Normal",210000
"FV",6,2009,2009,"Gd","TA","TA","TA","New","Partial",208300
"FV",7,2008,2009,"Gd","TA","TA","TA","New","Partial",225000
"FV",8,2009,2009,"Gd","TA","TA","TA","New","Partial",229456
"FV",7,2008,2008,"Gd","TA","TA","TA","WD ","Normal",229800
"FV",9,2007,2008,"Gd","TA","TA","TA","WD ","Normal",250000
"FV",9,2009,2009,"Ex","TA","TA","TA","New","Partial",370878
"FV",8,2006,2007,"Gd","TA","TA","TA","WD ","Normal",238500
"FV",10,2008,2008,"Ex","TA","TA","TA","WD ","Normal",310000
"FV",8,2006,2006,"Gd","TA","TA","TA","WD ","Normal",270000
"FV",8,2005,2006,"Gd","TA","TA","TA","WD ","Normal",252000
"FV",7,2006,2007,"Gd","TA","TA","TA","WD ","Normal",241000
"FV",8,2008,2009,"Gd","TA","TA","TA","New","Partial",264500
"FV",7,2006,2007,"Gd","TA","TA","TA","WD ","Normal",291000
"FV",7,2003,2004,"Gd","TA","TA","TA","WD ","Normal",263000
"FV",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",185000
"FV",7,2003,2004,"Gd","TA","TA","TA","WD ","Normal",234500
"FV",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",209000
"RL",7,2007,2007,"Gd","TA","TA","TA","WD ","Normal",159000
"RL",7,2006,2006,"Gd","TA","TA","TA","WD ","Normal",152000
"RL",6,2004,2004,"TA","TA",NA,NA,"WD ","Normal",143500
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",193000
"RL",8,2004,2004,"Gd","TA","TA","TA","WD ","Normal",203000
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",184900
"RL",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",159000
"RL",5,2004,2004,"TA","TA",NA,NA,"WD ","Normal",142000
"RL",5,2003,2004,"TA","TA","TA","TA","WD ","Normal",153000
"RL",7,2008,2009,"Gd","TA","TA","TA","New","Partial",224243
"RL",7,1996,1997,"Gd","TA","TA","TA","WD ","Normal",220000
"RL",8,2005,2006,"Gd","TA","TA","TA","COD","Abnorml",257000
"RL",7,2001,2001,"Gd","TA","TA","TA","WD ","Normal",189000
"RL",6,1992,1992,"Gd","Gd","TA","TA","WD ","Normal",171500
"RL",6,1980,1980,"TA","TA","TA","TA","WD ","Normal",120000
"RL",6,1990,1991,"Gd","TA","TA","TA","WD ","Normal",145000
"RL",7,1994,1994,"Gd","TA","TA","TA","WD ","Normal",184000
"RL",6,1986,1986,"TA","Gd","TA","TA","WD ","Normal",162000
"RL",6,1981,1981,"TA","TA","TA","TA","WD ","Normal",160000
"RH",4,1950,1950,"Fa","Fa","TA","TA","WD ","Normal",82000
"RH",6,1928,1950,"TA","TA","Fa","Fa","WD ","Normal",76000
"RL",5,1962,1962,"TA","TA","TA","TA","WD ","Normal",110000
"RL",5,1977,1977,"TA","TA","TA","TA","WD ","Normal",135000
"RL",5,1961,1961,"TA","TA","TA","TA","WD ","Normal",141000
"RL",5,1961,1961,"TA","TA","TA","TA","WD ","Normal",122000
"RL",5,1965,1965,"TA","TA","TA","TA","Oth","Family",124100
"RL",5,1963,1995,"Gd","Gd","TA","TA","WD ","Normal",129000
"RL",5,1961,1983,"TA","TA","TA","TA","WD ","Normal",131400
"RL",5,1965,1965,"TA","TA","TA","TA","WD ","Normal",62383
"RL",5,1962,1962,"TA","TA","TA","TA","WD ","Normal",123000
"RL",8,1980,1980,"Gd","Gd","TA","TA","WD ","Normal",275000
"RL",7,1991,2008,"Gd","Gd","TA","TA","WD ","Normal",235000
"FV",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",280750
"FV",6,2009,2009,"Gd","TA","TA","TA","New","Partial",164500
"FV",6,2009,2009,"Gd","TA","TA","TA","New","Partial",173733
"FV",6,2008,2008,"Gd","TA","TA","TA","New","Partial",222000
"FV",6,2008,2008,"Gd","TA","TA","TA","WD ","Normal",195000
"FV",6,1999,1999,"TA","TA","TA","TA","WD ","Normal",172500
"FV",6,2000,2000,"Gd","TA","TA","TA","WD ","Normal",180000
"FV",7,1999,1999,"Gd","TA","TA","TA","WD ","Normal",156000
"FV",8,1999,2000,"Gd","TA","TA","TA","WD ","Abnorml",172500
"RL",8,1977,2008,"Ex","Ex","TA","TA","WD ","Normal",318750
"RL",8,1981,1981,"Gd","TA","TA","TA","WD ","Normal",211500
"RL",7,1981,1981,"Gd","TA","TA","TA","WD ","Normal",241600
"RL",8,1976,1976,"Gd","Gd","TA","TA","WD ","Abnorml",180500
"RL",4,1976,1993,"TA","TA","TA","TA","WD ","Normal",150000
"RL",6,1968,1968,"TA","TA","TA","TA","WD ","Normal",154000
"RL",6,1970,1970,"TA","TA","TA","TA","WD ","Normal",185000
"RL",6,1968,1968,"TA","TA","TA","TA","WD ","Normal",185750
"RL",7,1973,1973,"TA","TA","TA","TA","WD ","Normal",200000
"RL",7,1974,1974,"TA","TA","TA","TA","WD ","Normal",206000
"RL",6,1972,1972,"TA","TA","TA","TA","WD ","Normal",162000
"RL",6,1967,1997,"TA","TA","TA","TA","WD ","Normal",256900
"RL",6,1967,1976,"TA","TA","TA","TA","WD ","Normal",197900
"RL",5,1969,1969,"TA","TA","TA","TA","WD ","Normal",163000
"RL",6,1969,1969,"TA","TA","TA","TA","WD ","Abnorml",113000
"RL",7,1977,1992,"TA","Gd","TA","TA","WD ","Normal",230000
"RL",6,1977,1977,"TA","TA","TA","TA","WD ","Normal",167900
"RL",7,1998,1999,"Gd","TA","TA","TA","WD ","Normal",213250
"RL",8,2001,2001,"Gd","TA","TA","TA","WD ","Normal",227000
"RL",5,1967,1967,"TA","TA","TA","TA","WD ","Normal",130000
"RL",5,1967,1967,"TA","TA","TA","TA","COD","Normal",143000
"RL",5,1965,1965,"TA","TA","TA","TA","WD ","Normal",117500
"RL",7,1974,1974,"TA","TA","TA","TA","COD","Abnorml",168500
"RL",6,1971,1971,"TA","TA","TA","TA","WD ","Normal",172500
"RL",6,1967,1967,"TA","TA","TA","TA","WD ","Normal",161500
"RL",4,1960,1960,"TA","TA","TA","TA","WD ","Normal",141500
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",118000
"RL",6,1959,1959,"TA","TA","Ex","Ex","WD ","Normal",127500
"RL",4,1957,1957,"TA","TA","TA","TA","WD ","Normal",140000
"RL",5,1956,1956,"TA","Gd","TA","TA","WD ","Normal",177625
"RL",5,1958,1958,"TA","TA","TA","TA","COD","Abnorml",110000
"RL",6,1964,1964,"TA","TA","TA","TA","WD ","Normal",167000
"RL",5,1961,1995,"TA","TA","TA","TA","WD ","Normal",153000
"RL",5,1964,1964,"TA","Gd","TA","TA","COD","Abnorml",145100
"RL",5,1966,1966,"TA","TA","TA","TA","WD ","Normal",154000
"RL",5,1965,1965,"TA","Gd","TA","TA","WD ","Normal",177500
"RL",6,1964,1964,"TA","Gd","TA","TA","WD ","Normal",158000
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",124500
"RL",6,1961,1961,"TA","TA","TA","TA","WD ","Normal",174500
"RL",5,1955,1955,"TA","TA","TA","TA","WD ","Normal",122000
"RL",4,1940,1950,"Fa","TA",NA,NA,"WD ","Normal",82500
"RL",5,1950,1950,"TA","TA","TA","TA","WD ","Normal",110000
"RL",6,1953,1953,"TA","TA","TA","TA","WD ","Normal",149500
"RL",6,1967,1967,"Gd","TA","Gd","TA","WD ","Normal",175000
"RL",6,1953,1953,"TA","TA","TA","TA","WD ","Normal",167000
"RL",5,1956,1956,"TA","TA","TA","TA","WD ","Normal",128900
"RL",6,1950,2005,"TA","Gd","TA","TA","WD ","Normal",140000
"RL",5,1950,2007,"Gd","TA","TA","TA","WD ","Normal",147000
"RL",5,1967,1967,"TA","TA","TA","TA","WD ","Normal",124000
"RL",6,1961,1961,"TA","TA","TA","TA","WD ","Normal",187500
"RL",6,1963,1963,"TA","TA","TA","TA","WD ","Normal",159000
"RL",6,1966,2008,"TA","Gd","TA","TA","WD ","Normal",256000
"RL",7,1965,1990,"TA","TA","TA","TA","WD ","Normal",205000
"RL",6,1968,1968,"TA","Gd","TA","TA","WD ","Normal",193500
"RL",6,1968,1968,"TA","TA","TA","TA","WD ","Normal",110000
"RL",4,1920,2007,"TA","Gd","TA","TA","WD ","Normal",104900
"RL",5,1956,1956,"Gd","TA","TA","TA","WD ","Normal",150000
"RL",6,1957,1957,"TA","TA","TA","TA","WD ","Normal",156500
"RL",7,1960,1960,"TA","TA","TA","TA","WD ","Normal",176000
"RL",6,1959,1998,"Gd","TA","TA","TA","WD ","Normal",149500
"RL",6,1958,1988,"TA","TA","TA","TA","WD ","Normal",139000
"RL",6,1958,1998,"TA","TA","TA","TA","WD ","Normal",155000
"RL",5,1956,1956,"TA","TA","TA","TA","COD","Abnorml",120000
"RL",5,1955,1955,"TA","TA","TA","TA","WD ","Normal",153000
"RL",4,1956,1956,"TA","TA","TA","TA","WD ","Family",144000
"RL",6,1962,1962,"TA","TA","TA","TA","WD ","Normal",176000
"RL",5,1954,1990,"TA","TA","TA","TA","WD ","Normal",153000
"RL",5,1958,1958,"TA","TA","TA","Fa","WD ","Normal",135000
"RL",6,1954,1954,"TA","TA","TA","TA","WD ","Normal",131000
"RL",5,1953,1953,"TA","TA","TA","TA","WD ","Normal",123000
"RL",5,1951,1951,"TA","TA","TA","TA","WD ","Normal",126000
"RL",4,1955,1955,"TA","TA","Fa","Fa","WD ","Normal",115000
"RL",5,1951,2000,"Gd","TA","TA","TA","WD ","Normal",164900
"RL",5,1945,1950,"TA","Gd","TA","TA","WD ","Normal",113000
"RL",5,1952,2005,"Gd","TA","TA","TA","WD ","Normal",145500
"RL",5,1953,1953,"TA","TA","TA","TA","ConLD","Normal",102900
"RL",3,1900,1970,"TA","TA","Fa","Fa","WD ","Abnorml",95000
"RL",7,1948,1999,"TA","TA","TA","TA","WD ","Normal",152500
"RL",5,1950,1950,"TA","TA","TA","TA","WD ","Normal",129900
"RL",6,1948,2002,"TA","Gd","TA","TA","WD ","Normal",132000
"RL",3,1958,1958,"TA","TA","Fa","TA","WD ","Normal",99900
"RL",5,1916,1987,"TA","TA","Fa","Fa","WD ","Normal",135000
"RL",5,1939,2006,"TA","Gd","TA","TA","WD ","Normal",149000
"RL",4,1900,2003,"Gd","Gd","TA","TA","WD ","Normal",114000
"RL",5,1924,2006,"Gd","TA","Fa","Fa","WD ","Normal",109500
"RL",5,1925,1950,"TA","TA","TA","TA","WD ","Normal",125000
"RL",4,1915,1950,"TA","TA","TA","TA","WD ","Normal",142900
"RL",7,1910,2008,"Gd","Gd","TA","TA","WD ","Normal",156500
"RL",2,1940,1950,"Fa","TA",NA,NA,"WD ","Normal",59000
"RL",4,1920,1950,"Fa","TA","TA","TA","WD ","Normal",105000
"RL",5,1920,1950,"TA","TA","TA","TA","WD ","Normal",106000
"RL",3,1890,1998,"TA","TA","TA","TA","WD ","Normal",78500
"RL",6,1969,1969,"TA","TA","TA","TA","WD ","Normal",190000
"RL",6,1963,1963,"TA","TA","TA","TA","WD ","Normal",154000
"RL",6,1967,1967,"Fa","TA","TA","TA","WD ","Normal",163000
"RL",5,1969,1969,"TA","TA","TA","TA","WD ","Normal",200000
"RL",6,1958,2007,"Gd","Gd","TA","TA","WD ","Normal",143500
"RL",6,1957,1957,"TA","TA","TA","TA","WD ","Normal",135000
"RL",5,1957,2000,"TA","Gd","TA","TA","WD ","Normal",153000
"RL",6,1960,1960,"TA","TA","TA","TA","WD ","Normal",157500
"RL",6,1958,1958,"TA","TA","TA","TA","WD ","Normal",113500
"RL",5,1949,1950,"Gd","TA","TA","TA","WD ","Normal",133000
"RL",3,1950,1950,"TA","TA","TA","TA","WD ","Normal",92900
"RL",6,1950,1950,"TA","TA","TA","TA","COD","Abnorml",128500
"RL",4,1949,1950,"TA","TA","TA","TA","WD ","Normal",90000
"RL",5,1950,1982,"TA","TA","TA","TA","WD ","Normal",138000
"RL",5,1958,1958,"TA","TA","TA","TA","WD ","Normal",128000
"RL",5,1958,1965,"TA","TA","TA","TA","COD","Abnorml",139000
"RL",5,1952,1952,"TA","Gd","TA","TA","WD ","Normal",118900
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",138000
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",132500
"RL",4,1949,1996,"TA","TA","TA","TA","WD ","Normal",133500
"RL",6,1948,1994,"TA","TA","TA","TA","COD","Abnorml",135000
"RL",6,1964,1964,"TA","TA","TA","TA","WD ","Normal",144750
"RL",5,1978,1978,"TA","Gd","TA","TA","WD ","Normal",145000
"RL",6,1963,1963,"TA","TA","TA","TA","WD ","Normal",127000
"RL",5,1962,1962,"TA","TA","TA","TA","WD ","Normal",109500
"RM",6,1926,2004,"TA","TA","TA","TA","WD ","Normal",115000
"RM",5,1910,1981,"TA","TA","TA","TA","WD ","Normal",110000
"RM",6,1935,1998,"TA","TA","Fa","Fa","WD ","Normal",128900
"RM",6,1910,1950,"TA","TA","Fa","TA","WD ","Normal",103500
"RM",5,1941,1950,"TA","TA","TA","TA","WD ","Abnorml",66500
"RM",5,1910,2003,"TA","Gd","Fa","TA","WD ","Normal",130000
"RM",5,1910,2002,"Gd","TA",NA,NA,"WD ","Normal",129000
"RM",5,1939,1950,"TA","TA","TA","TA","WD ","Normal",150000
"RM",5,1892,1965,"TA","TA","TA","TA","WD ","Normal",107500
"RM",4,1920,1950,"Fa","TA",NA,NA,"WD ","Normal",94550
"RM",5,1952,1952,"TA","TA","TA","TA","COD","Normal",124500
"RM",7,1946,1992,"TA","Gd","TA","TA","WD ","Normal",135000
"RM",5,1910,1950,"TA","TA",NA,NA,"WD ","Normal",103000
"RM",4,1953,1953,"Fa","TA","TA","TA","WD ","Normal",93000
"RM",5,1950,1970,"TA","Ex","TA","TA","WD ","Normal",129500
"RM",5,1954,1954,"TA","TA","TA","TA","WD ","Normal",93000
"RM",4,1920,1950,"TA","TA","TA","TA","Oth","Normal",80000
"RM",2,1940,1950,"TA","Gd","TA","Fa","WD ","Normal",45000
"RM",3,1910,1950,"TA","TA",NA,NA,"WD ","Abnorml",37900
"RM",5,1938,1996,"TA","TA","TA","TA","WD ","Normal",91300
"RM",5,1923,1950,"Gd","TA","TA","TA","WD ","Normal",99500
"RM",4,1920,2008,"TA","TA",NA,NA,"New","Partial",113000
"RM",4,1910,1950,"Gd","Gd","TA","TA","WD ","Normal",87500
"RM",5,1947,1950,"TA","TA","TA","TA","WD ","Normal",110000
"RM",5,1898,1965,"TA","TA","Fa","Po","WD ","Normal",106000
"RM",7,1880,2003,"Gd","TA","TA","TA","WD ","Normal",265979
"RM",6,1900,1950,"TA","TA","TA","TA","WD ","Normal",160000
"RM",6,1917,2007,"TA","TA","TA","TA","WD ","Normal",119000
"RM",8,1882,1986,"Gd","Gd","TA","TA","WD ","Normal",168000
"C (all)",4,1910,1950,"TA","TA",NA,NA,"WD ","Normal",58500
"RM",7,1920,1988,"TA","Gd","TA","TA","WD ","Normal",143000
"RM",5,1910,2006,"TA","TA","TA","TA","WD ","Normal",85000
"RM",5,1890,1996,"TA","TA","TA","TA","WD ","Normal",124900
"RM",6,1920,1950,"Fa","TA","Fa","TA","ConLI","Family",119000
"RM",6,1910,2002,"TA","TA","TA","TA","WD ","Normal",146500
"C (all)",4,1920,1950,"TA","TA",NA,NA,"WD ","Abnorml",34900
"C (all)",3,1900,1950,"TA","Fa",NA,NA,"WD ","Abnorml",44000
"RL",5,1923,2004,"TA","TA","TA","TA","WD ","Normal",223500
"RL",6,1923,1950,"TA","TA","Fa","TA","WD ","Normal",149000
"RL",7,1925,2007,"Gd","Gd","TA","TA","WD ","Normal",205000
"RL",5,1930,1982,"TA","TA","TA","TA","WD ","Normal",137000
"RL",6,1916,1950,"TA","TA","Fa","Po","WD ","Normal",121000
"RM",4,1936,1950,"TA","TA","TA","TA","WD ","Normal",128000
"RM",6,1937,2000,"Gd","TA","TA","TA","WD ","Normal",134900
"RM",5,1925,1997,"TA","TA","TA","TA","WD ","Normal",117000
"RM",6,1939,1950,"TA","Fa","TA","TA","WD ","Normal",132500
"RM",5,1924,1950,"TA","TA","TA","TA","WD ","Normal",93000
"RM",6,1926,2004,"Gd","TA","TA","TA","WD ","Normal",119000
"RM",5,1924,1950,"TA","TA","TA","TA","WD ","Normal",100000
"RM",5,1936,1950,"TA","Fa","TA","TA","WD ","Normal",141500
"RM",4,1935,1995,"TA","TA","TA","TA","WD ","Normal",133000
"RM",2,1936,1950,"Fa","Fa",NA,NA,"ConLw","Normal",60000
"RM",5,1931,1993,"TA","TA","Fa","TA","WD ","Normal",105000
"RM",5,1925,1999,"TA","TA","TA","TA","WD ","Abnorml",115000
"RM",5,1938,1950,"TA","TA","Fa","TA","WD ","Normal",150000
"RM",5,1925,1950,"TA","Fa","Fa","TA","WD ","Normal",126500
"RL",6,1916,1994,"TA","TA","TA","TA","WD ","Normal",214500
"RL",7,1910,1993,"TA","Gd","TA","TA","WD ","Normal",167500
"RM",6,1915,1950,"TA","TA","Fa","Fa","WD ","Normal",155000
"RM",7,1915,2005,"Gd","TA","Fa","Fa","WD ","Normal",155000
"RM",7,1915,1994,"TA","Gd","TA","TA","WD ","Normal",179900
"RM",6,1912,1950,"TA","TA",NA,NA,"WD ","Abnorml",104000
"RM",5,1922,1950,"TA","TA",NA,NA,"WD ","Abnorml",62500
"RM",6,1927,1950,"TA","TA","TA","TA","WD ","Normal",149000
